step= 0  t=0.000  (-1.999, 0.000)  (-1.414, -1.414)  (-0.000, -1.999)  (1.414, -1.414)  (1.999, -0.000)  (1.414, 1.414)  (0.000, 1.999)  (-1.414, 1.414)
step= 13  t=13.000  (-1.999, 0.000)  (-1.414, -1.414)  (-0.000, -1.999)  (1.414, -1.414)  (1.999, -0.000)  (1.414, 1.414)  (0.000, 1.999)  (-1.414, 1.414)
step= 14  t=14.000  (-2.000, 0.032)  (-1.285, -1.324)  (0.001, -2.000)  (1.287, -1.325)  (1.849, 0.027)  (1.384, 1.444)  (0.017, 2.000)  (-1.307, 1.332)
step= 15  t=15.000  (-1.999, 0.055)  (-1.243, -1.233)  (0.005, -2.000)  (1.152, -1.212)  (1.780, -0.374)  (1.346, 1.480)  (0.103, 1.997)  (-1.255, 1.200)
step= 16  t=16.000  (-1.999, 0.051)  (-1.136, -1.196)  (-0.056, -1.999)  (1.098, -1.168)  (1.675, -0.452)  (1.282, 1.535)  (0.167, 1.993)  (-1.185, 1.127)
step= 17  t=17.000  (-1.933, 0.154)  (-0.938, -1.035)  (-0.270, -1.982)  (1.025, -0.968)  (1.562, -0.743)  (1.255, 1.557)  (0.289, 1.959)  (-1.314, 0.864)
step= 18  t=18.000  (-1.803, 0.157)  (-0.655, -1.507)  (-0.134, -1.996)  (0.939, -0.662)  (1.293, -0.907)  (1.314, 1.508)  (0.240, 1.944)  (-1.214, 0.818)
step= 19  t=19.000  (-1.348, 0.350)  (-0.381, -1.479)  (0.207, -1.989)  (0.914, -0.388)  (1.585, -0.783)  (0.743, 1.205)  (0.155, 1.612)  (-0.959, 0.232)
step= 20  t=20.000  (-1.016, -0.446)  (-0.026, -1.214)  (-0.456, -1.161)  (0.677, 0.024)  (1.645, -0.993)  (0.092, 0.055)  (0.044, 1.793)  (-0.277, -0.456)
step= 21  t=21.000  (-1.867, -0.716)  (-0.174, -1.261)  (-0.537, -1.914)  (0.633, -0.087)  (1.503, -1.319)  (-1.475, 1.131)  (0.073, 1.999)  (-0.263, -0.047)
step= 22  t=22.000  (-1.999, 0.019)  (-0.204, -1.251)  (-0.047, -1.999)  (1.431, -0.962)  (1.975, -0.317)  (-0.565, 0.901)  (-0.059, 1.999)  (-1.009, 0.893)
step= 23  t=23.000  (-1.999, 0.019)  (-1.466, -1.111)  (0.073, -1.998)  (1.353, -1.471)  (1.975, 0.312)  (1.088, 0.654)  (-0.059, 1.998)  (-1.325, 1.133)
step= 24  t=24.000  (-1.999, 0.019)  (-1.542, -1.273)  (0.073, -1.998)  (1.354, -1.472)  (1.975, 0.312)  (1.534, 1.281)  (-0.059, 1.998)  (-1.336, 1.487)
step= 25  t=25.000  (-1.999, 0.019)  (-1.542, -1.273)  (0.073, -1.998)  (1.354, -1.472)  (1.974, 0.312)  (1.534, 1.281)  (-0.059, 1.998)  (-1.336, 1.487)
step= 26  t=26.000  (-1.999, 0.019)  (-1.541, -1.273)  (0.073, -1.998)  (1.353, -1.471)  (1.974, 0.312)  (1.534, 1.281)  (-0.059, 1.998)  (-1.336, 1.487)
step= 27  t=27.000  (-1.999, 0.019)  (-1.541, -1.273)  (0.073, -1.998)  (1.353, -1.471)  (1.974, 0.312)  (1.534, 1.281)  (-0.059, 1.998)  (-1.336, 1.487)
step= 28  t=28.000  (-1.999, 0.019)  (-1.541, -1.273)  (0.073, -1.998)  (1.353, -1.471)  (1.974, 0.312)  (1.534, 1.281)  (-0.059, 1.998)  (-1.336, 1.487)
step= 29  t=29.000  (-1.999, 0.019)  (-1.541, -1.273)  (0.073, -1.998)  (1.353, -1.471)  (1.974, 0.312)  (1.534, 1.281)  (-0.059, 1.998)  (-1.336, 1.487)
step= 30  t=30.000  (-1.999, 0.019)  (-1.542, -1.273)  (0.073, -1.998)  (1.353, -1.471)  (1.974, 0.312)  (1.535, 1.281)  (-0.059, 1.998)  (-1.336, 1.487)
step= 31  t=31.000  (-1.999, 0.019)  (-1.542, -1.273)  (0.073, -1.998)  (1.353, -1.471)  (1.974, 0.312)  (1.535, 1.281)  (-0.059, 1.998)  (-1.336, 1.487)
step= 32  t=32.000  (-1.999, 0.019)  (-1.542, -1.273)  (0.073, -1.998)  (1.353, -1.471)  (1.975, 0.312)  (1.535, 1.281)  (-0.059, 1.998)  (-1.336, 1.487)
step= 33  t=33.000  (-1.999, 0.019)  (-1.542, -1.273)  (0.073, -1.998)  (1.353, -1.471)  (1.975, 0.312)  (1.535, 1.281)  (-0.059, 1.998)  (-1.336, 1.487)
step= 34  t=34.000  (-1.999, 0.019)  (-1.542, -1.273)  (0.073, -1.998)  (1.353, -1.471)  (1.975, 0.312)  (1.535, 1.281)  (-0.059, 1.998)  (-1.336, 1.487)
step= 35  t=35.000  (-1.999, 0.019)  (-1.542, -1.273)  (0.073, -1.998)  (1.353, -1.471)  (1.975, 0.312)  (1.535, 1.281)  (-0.059, 1.998)  (-1.336, 1.487)
step= 36  t=36.000  (-1.999, 0.019)  (-1.542, -1.273)  (0.073, -1.998)  (1.353, -1.471)  (1.975, 0.312)  (1.535, 1.281)  (-0.059, 1.998)  (-1.336, 1.487)
step= 37  t=37.000  (-1.999, 0.019)  (-1.542, -1.273)  (0.073, -1.998)  (1.353, -1.471)  (1.975, 0.312)  (1.535, 1.281)  (-0.059, 1.998)  (-1.336, 1.487)
step= 38  t=38.000  (-1.999, 0.019)  (-1.542, -1.273)  (0.073, -1.998)  (1.353, -1.471)  (1.975, 0.312)  (1.535, 1.281)  (-0.059, 1.998)  (-1.336, 1.487)
step= 39  t=39.000  (-1.999, 0.019)  (-1.542, -1.273)  (0.073, -1.998)  (1.353, -1.471)  (1.975, 0.312)  (1.535, 1.281)  (-0.059, 1.998)  (-1.336, 1.487)
step= 40  t=40.000  (-1.999, 0.019)  (-1.542, -1.273)  (0.037, -1.008)  (1.353, -1.471)  (1.975, 0.312)  (1.535, 1.281)  (-0.022, 0.746)  (-1.336, 1.487)
step= 41  t=41.000  (-0.064, 0.001)  (-1.542, -1.273)  (0.000, 0.000)  (1.353, -1.471)  (1.599, 0.252)  (1.535, 1.281)  (0.000, 0.000)  (-1.336, 1.487)
step= 42  t=42.000  (0.000, 0.000)  (-1.520, -1.255)  (0.000, 0.000)  (1.353, -1.471)  (0.000, 0.000)  (1.535, 1.281)  (0.000, 0.000)  (-1.336, 1.487)
step= 43  t=43.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.554, -0.602)  (0.000, 0.000)  (1.156, 0.965)  (0.000, 0.000)  (-1.283, 1.428)
