step= 0  t=0.000  (-1.999, 0.000)  (-1.414, -1.414)  (-0.000, -1.999)  (1.414, -1.414)  (1.999, -0.000)  (1.414, 1.414)  (0.000, 1.999)  (-1.414, 1.414)
step= 13  t=13.000  (-1.999, 0.000)  (-1.414, -1.414)  (-0.000, -1.999)  (1.414, -1.414)  (1.999, -0.000)  (1.414, 1.414)  (0.000, 1.999)  (-1.414, 1.414)
step= 14  t=14.000  (-1.991, 0.022)  (-1.389, -1.428)  (0.042, -1.985)  (1.388, -1.424)  (1.994, 0.019)  (1.376, 1.403)  (0.017, 1.989)  (-0.552, 1.184)
step= 15  t=15.000  (-1.825, -0.388)  (-1.373, -1.427)  (0.049, -1.985)  (1.389, -1.413)  (1.992, 0.005)  (1.276, 1.234)  (0.350, 1.850)  (-0.847, 1.173)
step= 16  t=16.000  (-1.769, -0.526)  (-1.305, -1.451)  (0.705, -1.716)  (1.413, -1.378)  (1.970, -0.038)  (1.150, 1.202)  (0.282, 1.980)  (-0.954, 1.040)
step= 17  t=17.000  (-1.846, -0.769)  (-1.189, -1.456)  (0.909, -1.638)  (1.500, -1.161)  (1.919, -0.147)  (1.013, 1.174)  (0.284, 1.980)  (-0.854, 1.025)
step= 18  t=18.000  (-1.681, -0.618)  (-1.066, -1.403)  (1.220, -1.492)  (1.519, -1.137)  (1.003, 1.087)  (0.712, 1.271)  (0.271, 1.812)  (-0.830, 0.841)
step= 19  t=19.000  (-1.949, -0.447)  (-1.355, -1.471)  (1.225, -1.581)  (0.870, 1.621)  (0.653, 1.419)  (0.785, 1.301)  (0.849, 1.579)  (-1.015, 0.509)
step= 20  t=20.000  (-1.817, -0.836)  (-1.095, -1.355)  (1.020, -1.721)  (0.893, 1.357)  (0.871, 1.383)  (0.686, 1.445)  (0.595, 1.664)  (-1.412, 0.844)
step= 21  t=21.000  (-1.812, -0.845)  (-1.287, -1.174)  (-0.257, -1.983)  (0.910, 1.366)  (0.931, 1.328)  (1.003, 1.139)  (0.589, 1.641)  (-1.436, 1.251)
step= 22  t=22.000  (-1.876, -0.694)  (-1.291, -1.241)  (-0.257, -1.983)  (1.101, 1.371)  (0.845, 1.142)  (1.397, 1.154)  (0.646, 1.582)  (-1.413, 1.415)
step= 23  t=23.000  (-1.994, 0.152)  (-1.390, -1.365)  (-0.257, -1.983)  (1.675, 1.093)  (0.828, 0.694)  (1.427, 1.230)  (0.654, 1.602)  (-1.413, 1.415)
step= 24  t=24.000  (-1.978, 0.293)  (-1.445, -1.383)  (-0.257, -1.983)  (1.853, 0.752)  (0.845, -0.059)  (1.458, 1.343)  (0.117, 1.997)  (-1.413, 1.415)
step= 25  t=25.000  (-1.978, 0.293)  (-1.445, -1.383)  (-0.257, -1.983)  (1.923, -0.551)  (1.114, -0.322)  (1.461, 1.365)  (-0.285, 1.979)  (-1.413, 1.415)
step= 26  t=26.000  (-1.978, 0.293)  (-1.445, -1.383)  (-0.257, -1.983)  (1.381, -1.447)  (1.783, -0.368)  (1.461, 1.365)  (-0.285, 1.979)  (-1.413, 1.415)
step= 27  t=27.000  (-1.978, 0.293)  (-1.445, -1.383)  (-0.257, -1.983)  (0.935, -1.767)  (1.970, -0.343)  (1.461, 1.365)  (-0.285, 1.979)  (-1.413, 1.414)
step= 28  t=28.000  (-1.978, 0.293)  (-1.445, -1.383)  (-0.257, -1.983)  (0.935, -1.767)  (1.970, -0.343)  (1.461, 1.365)  (-0.285, 1.979)  (-1.413, 1.414)
step= 29  t=29.000  (-1.978, 0.293)  (-1.444, -1.382)  (-0.257, -1.983)  (0.935, -1.767)  (1.970, -0.343)  (1.461, 1.365)  (-0.285, 1.979)  (-1.413, 1.414)
step= 30  t=30.000  (-1.978, 0.293)  (-1.444, -1.382)  (-0.257, -1.983)  (0.935, -1.767)  (1.970, -0.343)  (1.461, 1.365)  (-0.285, 1.979)  (-1.413, 1.414)
step= 31  t=31.000  (-1.978, 0.293)  (-1.444, -1.382)  (-0.257, -1.983)  (0.935, -1.767)  (1.970, -0.343)  (1.461, 1.365)  (-0.285, 1.979)  (-1.413, 1.414)
step= 32  t=32.000  (-1.978, 0.293)  (-1.444, -1.382)  (-0.257, -1.983)  (0.935, -1.767)  (1.970, -0.343)  (1.461, 1.365)  (-0.285, 1.979)  (-1.413, 1.414)
step= 33  t=33.000  (-1.978, 0.293)  (-1.444, -1.382)  (-0.257, -1.983)  (0.935, -1.767)  (1.970, -0.343)  (1.461, 1.365)  (-0.285, 1.979)  (-1.413, 1.414)
step= 34  t=34.000  (-1.978, 0.293)  (-1.444, -1.382)  (-0.257, -1.983)  (0.935, -1.767)  (1.970, -0.343)  (1.461, 1.365)  (-0.285, 1.979)  (-1.413, 1.414)
step= 35  t=35.000  (-1.978, 0.293)  (-1.444, -1.382)  (-0.257, -1.983)  (0.935, -1.767)  (1.970, -0.343)  (1.461, 1.365)  (-0.285, 1.979)  (-1.413, 1.414)
step= 36  t=36.000  (-1.978, 0.293)  (-1.444, -1.382)  (-0.257, -1.983)  (0.935, -1.767)  (1.970, -0.343)  (1.461, 1.365)  (-0.285, 1.979)  (-1.413, 1.414)
step= 37  t=37.000  (-1.978, 0.293)  (-1.444, -1.382)  (-0.257, -1.983)  (0.935, -1.767)  (1.970, -0.343)  (1.461, 1.365)  (-0.285, 1.979)  (-1.413, 1.414)
step= 38  t=38.000  (-1.978, 0.293)  (-1.444, -1.382)  (-0.257, -1.983)  (0.935, -1.767)  (1.970, -0.343)  (1.461, 1.365)  (-0.285, 1.979)  (-1.413, 1.414)
step= 39  t=39.000  (-1.978, 0.293)  (-1.444, -1.382)  (-0.257, -1.983)  (0.935, -1.767)  (1.970, -0.343)  (1.461, 1.365)  (-0.285, 1.979)  (-1.413, 1.414)
step= 40  t=40.000  (-1.805, 0.267)  (-0.928, -0.888)  (-0.257, -1.983)  (0.935, -1.767)  (1.970, -0.343)  (1.461, 1.365)  (-0.285, 1.979)  (-1.413, 1.414)
step= 41  t=41.000  (0.000, 0.000)  (0.000, 0.000)  (-0.031, -0.239)  (0.935, -1.767)  (1.970, -0.343)  (1.117, 1.043)  (-0.097, 0.673)  (-1.413, 1.414)
step= 42  t=42.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.935, -1.767)  (1.970, -0.343)  (0.000, 0.000)  (0.000, 0.000)  (-0.619, 0.620)
step= 43  t=43.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.935, -1.767)  (1.970, -0.343)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 44  t=44.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.935, -1.767)  (1.777, -0.310)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 45  t=45.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.935, -1.767)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 46  t=46.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.935, -1.767)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 47  t=47.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.257, -0.486)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
