step= 0  t=0.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 21  t=21.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 22  t=22.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 23  t=23.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 24  t=24.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 25  t=25.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 26  t=26.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 27  t=27.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 28  t=28.000  (-1.999, -0.000)  (-1.826, -0.813)  (-1.338, -1.485)  (-0.618, -1.901)  (0.209, -1.988)  (0.999, -1.731)  (1.617, -1.175)  (1.955, -0.416)  (1.955, 0.416)  (1.617, 1.175)  (0.999, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.485)  (-1.826, 0.813)
step= 29  t=29.000  (-1.999, -0.000)  (-1.826, -0.813)  (-1.338, -1.485)  (-0.618, -1.901)  (0.209, -1.988)  (0.999, -1.731)  (1.617, -1.175)  (1.955, -0.416)  (1.955, 0.416)  (1.617, 1.175)  (0.999, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.485)  (-1.826, 0.813)
step= 30  t=30.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 31  t=31.000  (-1.722, 0.000)  (-1.573, -0.700)  (-1.152, -1.279)  (-0.532, -1.637)  (0.180, -1.712)  (0.861, -1.491)  (1.393, -1.012)  (1.684, -0.358)  (1.684, 0.358)  (1.393, 1.012)  (0.861, 1.491)  (0.180, 1.712)  (-0.532, 1.639)  (-1.151, 1.279)  (-1.573, 0.700)
step= 32  t=32.000  (-1.435, -0.000)  (-1.311, -0.584)  (-0.960, -1.066)  (-0.443, -1.364)  (0.150, -1.427)  (0.717, -1.242)  (1.161, -0.843)  (1.403, -0.298)  (1.403, 0.298)  (1.161, 0.843)  (0.717, 1.242)  (0.151, 1.431)  (-0.442, 1.359)  (-0.963, 1.069)  (-1.309, 0.583)
step= 33  t=33.000  (-1.194, 0.000)  (-1.092, -0.486)  (-0.800, -0.888)  (-0.369, -1.137)  (0.125, -1.189)  (0.598, -1.035)  (0.967, -0.703)  (1.169, -0.249)  (1.169, 0.249)  (0.965, 0.702)  (0.602, 1.042)  (0.122, 1.171)  (-0.375, 1.155)  (-0.787, 0.875)  (-1.100, 0.489)
step= 34  t=34.000  (-1.007, -0.001)  (-0.908, -0.404)  (-0.667, -0.740)  (-0.308, -0.948)  (0.104, -0.990)  (0.498, -0.863)  (0.806, -0.585)  (0.975, -0.207)  (0.972, 0.207)  (0.816, 0.591)  (0.473, 0.828)  (0.109, 1.029)  (-0.271, 0.833)  (-0.693, 0.768)  (-0.869, 0.391)
step= 35  t=35.000  (-0.750, 0.010)  (-0.768, -0.344)  (-0.555, -0.615)  (-0.256, -0.789)  (0.087, -0.827)  (0.415, -0.718)  (0.672, -0.488)  (0.809, -0.172)  (0.824, 0.174)  (0.600, 0.448)  (0.437, 0.755)  (0.260, 1.982)  (-0.265, 0.816)  (-1.375, 1.451)  (-0.797, 0.354)
step= 36  t=36.000  (-0.714, 0.003)  (-0.511, -0.204)  (-0.468, -0.522)  (-0.214, -0.657)  (0.072, -0.686)  (0.347, -0.601)  (0.557, -0.404)  (0.687, -0.147)  (0.526, 0.134)  (0.576, 0.422)  (0.748, 1.266)  (-0.331, 1.972)  (-0.386, 1.187)  (-1.175, 1.221)  (-1.349, 0.585)
step= 37  t=37.000  (-1.133, 0.117)  (-0.643, -0.407)  (-0.162, -0.064)  (-0.179, -0.553)  (0.060, -0.574)  (0.287, -0.496)  (0.472, -0.344)  (-0.321, 0.236)  (0.751, 0.046)  (0.917, 0.632)  (0.664, 1.282)  (0.038, 2.000)  (-0.361, 1.110)  (-1.279, 1.422)  (-1.283, 0.646)
step= 38  t=38.000  (-1.067, -0.064)  (-0.802, -0.093)  (-0.348, -0.491)  (-0.226, -1.137)  (0.051, -0.479)  (0.242, -0.420)  (0.874, -0.795)  (0.243, -0.217)  (0.767, 0.473)  (0.920, 0.593)  (0.653, 1.307)  (-0.368, 1.966)  (-0.351, 1.069)  (-1.115, 1.359)  (-1.398, 0.677)
step= 39  t=39.000  (-1.158, -0.061)  (-0.556, -0.424)  (-0.513, -0.213)  (-0.621, -1.901)  (0.194, -0.856)  (0.355, -0.813)  (1.619, -1.173)  (0.359, -0.195)  (0.709, 0.386)  (0.917, 0.624)  (0.617, 1.300)  (-0.442, 1.951)  (-0.420, 1.045)  (-1.102, 1.362)  (-1.404, 0.652)
step= 40  t=40.000  (-0.935, -0.312)  (-0.725, -0.286)  (-0.529, -0.615)  (-0.809, -1.205)  (0.366, -1.307)  (0.497, -1.262)  (1.644, -1.139)  (0.410, -0.324)  (1.076, 0.486)  (0.709, 0.538)  (0.602, 1.131)  (-0.874, 1.799)  (-0.462, 1.212)  (-1.273, 1.313)  (-1.161, 1.073)
step= 41  t=41.000  (-1.091, -0.485)  (-0.526, -0.362)  (-0.715, -0.531)  (-0.809, -1.297)  (0.282, -1.242)  (0.587, -1.018)  (1.321, -0.972)  (0.750, -0.600)  (0.868, 0.534)  (1.008, 0.306)  (0.509, 1.151)  (-1.072, 1.688)  (-0.345, 1.133)  (-0.893, 1.001)  (-0.987, 1.122)
step= 42  t=42.000  (-1.183, -0.695)  (-0.661, -0.131)  (-0.745, -0.536)  (-0.713, -1.112)  (0.371, -1.022)  (0.522, -0.723)  (0.969, -0.677)  (0.912, -0.717)  (0.703, 0.513)  (1.019, 0.203)  (0.465, 1.016)  (-0.770, 1.620)  (-0.425, 1.007)  (-0.799, 1.124)  (-1.015, 0.880)
step= 43  t=43.000  (-1.396, -1.075)  (-0.543, -0.104)  (-0.651, -0.618)  (-0.566, -0.721)  (0.561, -1.059)  (0.428, -0.464)  (1.733, -0.999)  (1.066, -0.915)  (0.530, 0.566)  (0.874, 0.306)  (0.343, 0.830)  (-0.348, 1.913)  (-0.492, 0.884)  (-1.537, 1.280)  (-0.873, 0.691)
step= 44  t=44.000  (-1.408, -1.087)  (-0.438, -0.068)  (-0.527, -0.661)  (-1.198, -1.088)  (0.922, -1.195)  (0.189, -0.117)  (1.205, -0.740)  (1.289, -0.888)  (-0.201, 0.631)  (0.711, 0.228)  (0.343, 0.752)  (0.355, 1.968)  (-0.439, 0.831)  (-1.742, 0.982)  (-0.479, 0.435)
step= 45  t=45.000  (-1.500, -1.044)  (-0.308, -0.021)  (-0.394, -0.445)  (-1.011, -1.087)  (0.741, -1.380)  (-0.244, 0.449)  (1.614, -1.180)  (1.344, -0.888)  (0.150, 0.592)  (0.725, 0.151)  (0.154, 0.776)  (0.355, 1.968)  (-0.326, 0.684)  (-1.323, 1.499)  (-0.597, 1.353)
step= 46  t=46.000  (-1.784, -0.904)  (-0.237, -0.322)  (-0.447, -0.850)  (-0.773, -1.152)  (0.629, -1.832)  (-0.372, 0.581)  (1.614, -1.180)  (1.406, -0.893)  (0.330, 0.445)  (0.864, 0.140)  (0.195, 1.153)  (0.355, 1.968)  (-0.288, 0.572)  (-1.323, 1.499)  (-0.556, 1.394)
step= 47  t=47.000  (-1.907, -0.602)  (-0.342, -0.289)  (-0.471, -0.957)  (-0.623, -1.563)  (0.560, -1.920)  (-0.284, 0.518)  (1.614, -1.180)  (1.504, -0.777)  (0.600, 0.647)  (1.082, 0.221)  (0.663, 1.887)  (0.355, 1.968)  (-0.312, 0.489)  (-1.323, 1.499)  (-0.660, 1.482)
step= 48  t=48.000  (-1.959, -0.405)  (-0.686, -0.039)  (-0.694, -1.500)  (-0.476, -1.875)  (0.500, -1.937)  (-0.185, 0.527)  (1.614, -1.180)  (1.803, -0.557)  (1.779, 0.672)  (1.623, 0.625)  (1.039, 1.708)  (0.355, 1.968)  (-0.909, 0.748)  (-1.323, 1.499)  (-0.864, 1.590)
step= 49  t=49.000  (-1.997, -0.103)  (-1.494, -0.401)  (-1.345, -1.479)  (-0.539, -1.925)  (0.382, -1.963)  (0.122, -0.076)  (1.614, -1.180)  (1.976, -0.308)  (1.937, 0.499)  (1.610, 1.186)  (1.039, 1.708)  (0.355, 1.968)  (-0.989, 1.218)  (-1.323, 1.499)  (-1.259, 1.554)
step= 50  t=50.000  (-1.991, 0.184)  (-1.821, -0.826)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.997)  (1.256, -0.971)  (1.614, -1.180)  (1.976, -0.308)  (1.884, 0.337)  (1.615, 1.180)  (1.039, 1.708)  (0.355, 1.967)  (-1.182, 1.504)  (-1.322, 1.499)  (-1.881, 0.678)
step= 51  t=51.000  (-1.990, 0.184)  (-1.821, -0.826)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.991, -1.732)  (1.613, -1.180)  (1.976, -0.308)  (1.975, 0.310)  (1.570, 1.238)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.923)  (-1.322, 1.499)  (-1.898, 0.628)
step= 52  t=52.000  (-1.990, 0.184)  (-1.821, -0.826)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.983, -1.741)  (1.613, -1.180)  (1.975, -0.308)  (1.947, 0.292)  (1.710, 1.037)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.922)  (-1.322, 1.499)  (-1.897, 0.628)
step= 53  t=53.000  (-1.990, 0.184)  (-1.820, -0.826)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.983, -1.741)  (1.613, -1.180)  (1.975, -0.308)  (1.955, 0.296)  (1.566, 1.243)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.922)  (-1.322, 1.499)  (-1.898, 0.628)
step= 54  t=54.000  (-1.990, 0.184)  (-1.820, -0.826)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.983, -1.740)  (1.613, -1.180)  (1.975, -0.308)  (1.975, 0.310)  (1.566, 1.243)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.922)  (-1.322, 1.499)  (-1.898, 0.628)
step= 55  t=55.000  (-1.991, 0.184)  (-1.820, -0.826)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.983, -1.740)  (1.613, -1.180)  (1.975, -0.308)  (1.975, 0.310)  (1.566, 1.243)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.922)  (-1.322, 1.499)  (-1.898, 0.628)
step= 56  t=56.000  (-1.991, 0.184)  (-1.820, -0.825)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.983, -1.741)  (1.613, -1.180)  (1.975, -0.308)  (1.975, 0.310)  (1.565, 1.243)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.922)  (-1.322, 1.499)  (-1.898, 0.628)
step= 57  t=57.000  (-1.991, 0.184)  (-1.820, -0.825)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.983, -1.741)  (1.613, -1.180)  (1.975, -0.308)  (1.975, 0.310)  (1.565, 1.243)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.922)  (-1.322, 1.499)  (-1.898, 0.628)
step= 58  t=58.000  (-1.991, 0.184)  (-1.820, -0.825)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.983, -1.741)  (1.613, -1.180)  (1.975, -0.308)  (1.975, 0.310)  (1.566, 1.243)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.923)  (-1.322, 1.499)  (-1.898, 0.628)
step= 59  t=59.000  (-1.991, 0.184)  (-1.820, -0.825)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.983, -1.741)  (1.614, -1.180)  (1.975, -0.308)  (1.975, 0.310)  (1.566, 1.243)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.923)  (-1.322, 1.499)  (-1.898, 0.628)
step= 60  t=60.000  (-1.991, 0.184)  (-1.820, -0.825)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.983, -1.741)  (1.614, -1.180)  (1.975, -0.308)  (1.975, 0.310)  (1.566, 1.243)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.923)  (-1.323, 1.499)  (-1.898, 0.628)
step= 61  t=61.000  (-1.991, 0.184)  (-1.820, -0.825)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.983, -1.741)  (1.614, -1.180)  (1.975, -0.308)  (1.975, 0.310)  (1.566, 1.243)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.923)  (-1.323, 1.499)  (-1.898, 0.628)
step= 62  t=62.000  (-1.991, 0.184)  (-1.821, -0.826)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.983, -1.741)  (1.614, -1.180)  (1.975, -0.308)  (1.975, 0.310)  (1.566, 1.243)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.923)  (-1.323, 1.499)  (-1.898, 0.628)
step= 63  t=63.000  (-1.991, 0.184)  (-1.821, -0.826)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.983, -1.741)  (1.614, -1.180)  (1.975, -0.308)  (1.975, 0.310)  (1.566, 1.243)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.923)  (-1.323, 1.499)  (-1.898, 0.628)
step= 64  t=64.000  (-1.991, 0.184)  (-1.821, -0.826)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.983, -1.741)  (1.614, -1.180)  (1.975, -0.308)  (1.975, 0.310)  (1.566, 1.243)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.923)  (-1.323, 1.499)  (-1.898, 0.628)
step= 65  t=65.000  (-1.991, 0.184)  (-1.821, -0.826)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.983, -1.741)  (1.614, -1.180)  (1.975, -0.308)  (1.975, 0.310)  (1.566, 1.243)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.923)  (-1.323, 1.499)  (-1.898, 0.628)
step= 66  t=66.000  (-1.991, 0.184)  (-1.821, -0.826)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.983, -1.741)  (1.614, -1.180)  (1.975, -0.308)  (1.975, 0.310)  (1.566, 1.243)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.923)  (-1.323, 1.499)  (-1.898, 0.628)
step= 67  t=67.000  (-1.991, 0.184)  (-1.821, -0.826)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.983, -1.741)  (1.614, -1.180)  (1.975, -0.308)  (1.975, 0.310)  (1.566, 1.243)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.923)  (-1.323, 1.499)  (-1.898, 0.628)
step= 68  t=68.000  (-1.991, 0.184)  (-1.821, -0.826)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.983, -1.741)  (1.614, -1.180)  (1.975, -0.308)  (1.975, 0.310)  (1.566, 1.243)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.923)  (-1.323, 1.499)  (-1.898, 0.628)
step= 69  t=69.000  (-1.991, 0.184)  (-1.821, -0.826)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.983, -1.741)  (1.614, -1.180)  (1.975, -0.308)  (1.975, 0.310)  (1.566, 1.243)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.923)  (-1.323, 1.499)  (-1.898, 0.628)
step= 70  t=70.000  (-1.991, 0.184)  (-1.821, -0.826)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.983, -1.741)  (1.614, -1.180)  (1.975, -0.308)  (1.975, 0.310)  (1.566, 1.243)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.923)  (-1.323, 1.499)  (-1.898, 0.628)
step= 71  t=71.000  (-1.991, 0.184)  (-1.821, -0.826)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.983, -1.741)  (1.614, -1.180)  (1.975, -0.308)  (1.975, 0.310)  (1.566, 1.243)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.923)  (-1.323, 1.499)  (-1.898, 0.628)
step= 72  t=72.000  (-1.991, 0.184)  (-1.821, -0.826)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.983, -1.741)  (1.614, -1.180)  (1.975, -0.308)  (1.975, 0.310)  (1.566, 1.243)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.923)  (-1.323, 1.499)  (-1.898, 0.628)
step= 73  t=73.000  (-1.991, 0.184)  (-1.821, -0.826)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.983, -1.741)  (1.614, -1.180)  (1.975, -0.308)  (1.975, 0.310)  (1.566, 1.243)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.923)  (-1.323, 1.499)  (-1.898, 0.628)
step= 74  t=74.000  (-1.991, 0.184)  (-1.821, -0.826)  (-1.345, -1.479)  (-0.539, -1.925)  (0.106, -1.996)  (0.983, -1.741)  (1.614, -1.180)  (1.975, -0.308)  (1.975, 0.310)  (1.566, 1.243)  (1.039, 1.708)  (0.355, 1.967)  (-0.548, 1.923)  (-1.323, 1.499)  (-1.898, 0.628)
