step= 0  t=0.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 21  t=21.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 22  t=22.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 23  t=23.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 24  t=24.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 25  t=25.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 26  t=26.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 27  t=27.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 28  t=28.000  (-1.999, -0.000)  (-1.826, -0.813)  (-1.338, -1.485)  (-0.618, -1.901)  (0.209, -1.988)  (0.999, -1.731)  (1.617, -1.175)  (1.955, -0.416)  (1.955, 0.416)  (1.617, 1.175)  (0.999, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.485)  (-1.826, 0.813)
step= 29  t=29.000  (-1.907, 0.000)  (-1.742, -0.776)  (-1.276, -1.417)  (-0.589, -1.814)  (0.199, -1.897)  (0.953, -1.651)  (1.543, -1.121)  (1.865, -0.396)  (1.865, 0.396)  (1.543, 1.121)  (0.953, 1.651)  (0.199, 1.897)  (-0.589, 1.814)  (-1.276, 1.417)  (-1.742, 0.776)
step= 30  t=30.000  (-1.589, -0.000)  (-1.452, -0.646)  (-1.063, -1.181)  (-0.491, -1.511)  (0.166, -1.580)  (0.795, -1.376)  (1.286, -0.934)  (1.554, -0.330)  (1.554, 0.330)  (1.286, 0.934)  (0.795, 1.376)  (0.166, 1.580)  (-0.491, 1.511)  (-1.063, 1.181)  (-1.452, 0.646)
step= 31  t=31.000  (-1.324, 0.000)  (-1.210, -0.539)  (-0.886, -0.984)  (-0.409, -1.259)  (0.138, -1.317)  (0.662, -1.147)  (1.071, -0.778)  (1.295, -0.275)  (1.295, 0.275)  (1.071, 0.778)  (0.662, 1.147)  (0.138, 1.317)  (-0.409, 1.259)  (-0.886, 0.984)  (-1.210, 0.539)
step= 32  t=32.000  (-1.104, -0.000)  (-1.008, -0.449)  (-0.738, -0.820)  (-0.341, -1.050)  (0.115, -1.098)  (0.552, -0.956)  (0.893, -0.649)  (1.079, -0.229)  (1.079, 0.229)  (0.893, 0.649)  (0.552, 0.956)  (0.115, 1.098)  (-0.341, 1.050)  (-0.738, 0.820)  (-1.008, 0.449)
step= 33  t=33.000  (-0.920, 0.000)  (-0.840, -0.374)  (-0.615, -0.683)  (-0.284, -0.875)  (0.096, -0.915)  (0.460, -0.796)  (0.744, -0.541)  (0.900, -0.191)  (0.900, 0.191)  (0.744, 0.541)  (0.460, 0.796)  (0.096, 0.915)  (-0.284, 0.875)  (-0.615, 0.683)  (-0.840, 0.374)
step= 34  t=34.000  (-0.766, -0.000)  (-0.700, -0.312)  (-0.513, -0.569)  (-0.237, -0.729)  (0.080, -0.762)  (0.383, -0.664)  (0.620, -0.450)  (0.750, -0.159)  (0.750, 0.159)  (0.620, 0.450)  (0.383, 0.664)  (0.080, 0.762)  (-0.237, 0.729)  (-0.513, 0.570)  (-0.700, 0.312)
step= 35  t=35.000  (-0.639, 0.000)  (-0.583, -0.260)  (-0.427, -0.475)  (-0.197, -0.607)  (0.067, -0.635)  (0.319, -0.553)  (0.517, -0.375)  (0.625, -0.133)  (0.625, 0.133)  (0.517, 0.375)  (0.319, 0.553)  (0.067, 0.635)  (-0.197, 0.607)  (-0.427, 0.475)  (-0.583, 0.260)
step= 36  t=36.000  (-0.532, -0.000)  (-0.486, -0.216)  (-0.356, -0.395)  (-0.164, -0.506)  (0.056, -0.529)  (0.266, -0.461)  (0.431, -0.313)  (0.521, -0.111)  (0.521, 0.111)  (0.431, 0.313)  (0.266, 0.461)  (0.056, 0.529)  (-0.164, 0.506)  (-0.356, 0.395)  (-0.486, 0.216)
step= 37  t=37.000  (-0.444, 0.000)  (-0.405, -0.180)  (-0.297, -0.330)  (-0.137, -0.422)  (0.046, -0.441)  (0.222, -0.384)  (0.359, -0.261)  (0.434, -0.092)  (0.434, 0.092)  (0.359, 0.261)  (0.222, 0.384)  (0.046, 0.441)  (-0.137, 0.422)  (-0.297, 0.330)  (-0.405, 0.180)
step= 38  t=38.000  (-0.370, 0.000)  (-0.338, -0.150)  (-0.247, -0.275)  (-0.114, -0.351)  (0.039, -0.368)  (0.185, -0.320)  (0.299, -0.217)  (0.362, -0.077)  (0.362, 0.077)  (0.299, 0.217)  (0.185, 0.320)  (0.039, 0.368)  (-0.114, 0.351)  (-0.247, 0.275)  (-0.338, 0.150)
step= 39  t=39.000  (-0.308, 0.000)  (-0.281, -0.125)  (-0.206, -0.229)  (-0.095, -0.293)  (0.032, -0.306)  (0.154, -0.267)  (0.249, -0.181)  (0.301, -0.064)  (0.301, 0.064)  (0.249, 0.181)  (0.154, 0.267)  (0.032, 0.306)  (-0.095, 0.293)  (-0.206, 0.229)  (-0.281, 0.125)
step= 40  t=40.000  (-0.257, 0.000)  (-0.234, -0.104)  (-0.172, -0.191)  (-0.079, -0.244)  (0.027, -0.255)  (0.128, -0.222)  (0.208, -0.151)  (0.251, -0.053)  (0.251, 0.053)  (0.208, 0.151)  (0.128, 0.222)  (0.027, 0.255)  (-0.079, 0.244)  (-0.172, 0.191)  (-0.234, 0.104)
step= 41  t=41.000  (-0.214, 0.000)  (-0.195, -0.087)  (-0.143, -0.159)  (-0.066, -0.203)  (0.022, -0.213)  (0.107, -0.185)  (0.173, -0.126)  (0.209, -0.044)  (0.209, 0.044)  (0.173, 0.126)  (0.107, 0.185)  (0.022, 0.213)  (-0.066, 0.203)  (-0.143, 0.159)  (-0.195, 0.087)
step= 42  t=42.000  (-0.178, 0.000)  (-0.163, -0.072)  (-0.119, -0.132)  (-0.055, -0.170)  (0.019, -0.177)  (0.089, -0.154)  (0.144, -0.105)  (0.174, -0.037)  (0.174, 0.037)  (0.144, 0.105)  (0.089, 0.154)  (0.019, 0.177)  (-0.055, 0.170)  (-0.119, 0.132)  (-0.163, 0.072)
step= 43  t=43.000  (-0.149, 0.000)  (-0.136, -0.060)  (-0.099, -0.110)  (-0.046, -0.141)  (0.016, -0.148)  (0.074, -0.129)  (0.120, -0.087)  (0.145, -0.031)  (0.145, 0.031)  (0.120, 0.087)  (0.074, 0.129)  (0.016, 0.148)  (-0.046, 0.141)  (-0.099, 0.110)  (-0.136, 0.060)
step= 44  t=44.000  (-0.124, 0.000)  (-0.113, -0.050)  (-0.083, -0.092)  (-0.038, -0.118)  (0.013, -0.123)  (0.062, -0.107)  (0.100, -0.073)  (0.121, -0.026)  (0.121, 0.026)  (0.100, 0.073)  (0.062, 0.107)  (0.013, 0.123)  (-0.038, 0.118)  (-0.083, 0.092)  (-0.113, 0.050)
step= 45  t=45.000  (-0.103, 0.000)  (-0.094, -0.042)  (-0.069, -0.077)  (-0.032, -0.098)  (0.011, -0.103)  (0.052, -0.089)  (0.083, -0.061)  (0.101, -0.021)  (0.101, 0.021)  (0.083, 0.061)  (0.052, 0.089)  (0.011, 0.103)  (-0.032, 0.098)  (-0.069, 0.077)  (-0.094, 0.042)
step= 46  t=46.000  (-0.086, 0.000)  (-0.079, -0.035)  (-0.058, -0.064)  (-0.027, -0.082)  (0.009, -0.085)  (0.043, -0.074)  (0.070, -0.051)  (0.084, -0.018)  (0.084, 0.018)  (0.070, 0.051)  (0.043, 0.074)  (0.009, 0.085)  (-0.027, 0.082)  (-0.058, 0.064)  (-0.079, 0.035)
step= 47  t=47.000  (-0.072, 0.000)  (-0.065, -0.029)  (-0.048, -0.053)  (-0.022, -0.068)  (0.007, -0.071)  (0.036, -0.062)  (0.058, -0.042)  (0.070, -0.015)  (0.070, 0.015)  (0.058, 0.042)  (0.036, 0.062)  (0.007, 0.071)  (-0.022, 0.068)  (-0.048, 0.053)  (-0.065, 0.029)
step= 48  t=48.000  (-0.060, 0.000)  (-0.055, -0.024)  (-0.040, -0.044)  (-0.018, -0.057)  (0.006, -0.059)  (0.030, -0.052)  (0.048, -0.035)  (0.058, -0.012)  (0.058, 0.012)  (0.048, 0.035)  (0.030, 0.052)  (0.006, 0.059)  (-0.018, 0.057)  (-0.040, 0.044)  (-0.055, 0.024)
step= 49  t=49.000  (-0.050, 0.000)  (-0.045, -0.020)  (-0.033, -0.037)  (-0.015, -0.047)  (0.005, -0.049)  (0.025, -0.043)  (0.040, -0.029)  (0.049, -0.010)  (0.049, 0.010)  (0.040, 0.029)  (0.025, 0.043)  (0.005, 0.049)  (-0.015, 0.047)  (-0.033, 0.037)  (-0.045, 0.020)
step= 50  t=50.000  (-0.041, 0.000)  (-0.038, -0.017)  (-0.028, -0.031)  (-0.013, -0.039)  (0.004, -0.041)  (0.021, -0.036)  (0.034, -0.024)  (0.041, -0.009)  (0.041, 0.009)  (0.034, 0.024)  (0.021, 0.036)  (0.004, 0.041)  (-0.013, 0.039)  (-0.028, 0.031)  (-0.038, 0.017)
step= 51  t=51.000  (-0.035, 0.000)  (-0.032, -0.014)  (-0.023, -0.026)  (-0.011, -0.033)  (0.004, -0.034)  (0.017, -0.030)  (0.028, -0.020)  (0.034, -0.007)  (0.034, 0.007)  (0.028, 0.020)  (0.017, 0.030)  (0.004, 0.034)  (-0.011, 0.033)  (-0.023, 0.026)  (-0.032, 0.014)
step= 52  t=52.000  (-0.029, 0.000)  (-0.026, -0.012)  (-0.019, -0.021)  (-0.009, -0.027)  (0.003, -0.029)  (0.014, -0.025)  (0.023, -0.017)  (0.028, -0.006)  (0.028, 0.006)  (0.023, 0.017)  (0.014, 0.025)  (0.003, 0.029)  (-0.009, 0.027)  (-0.019, 0.021)  (-0.026, 0.012)
step= 53  t=53.000  (-0.024, 0.000)  (-0.022, -0.010)  (-0.016, -0.018)  (-0.007, -0.023)  (0.003, -0.024)  (0.012, -0.021)  (0.019, -0.014)  (0.023, -0.005)  (0.023, 0.005)  (0.019, 0.014)  (0.012, 0.021)  (0.003, 0.024)  (-0.007, 0.023)  (-0.016, 0.018)  (-0.022, 0.010)
step= 54  t=54.000  (-0.020, 0.000)  (-0.018, -0.008)  (-0.013, -0.015)  (-0.006, -0.019)  (0.002, -0.020)  (0.010, -0.017)  (0.016, -0.012)  (0.020, -0.004)  (0.020, 0.004)  (0.016, 0.012)  (0.010, 0.017)  (0.002, 0.020)  (-0.006, 0.019)  (-0.013, 0.015)  (-0.018, 0.008)
step= 55  t=55.000  (-0.017, 0.000)  (-0.015, -0.007)  (-0.011, -0.012)  (-0.005, -0.016)  (0.002, -0.017)  (0.008, -0.014)  (0.013, -0.010)  (0.016, -0.003)  (0.016, 0.003)  (0.013, 0.010)  (0.008, 0.014)  (0.002, 0.017)  (-0.005, 0.016)  (-0.011, 0.012)  (-0.015, 0.007)
step= 56  t=56.000  (-0.014, 0.000)  (-0.013, -0.006)  (-0.009, -0.010)  (-0.004, -0.013)  (0.001, -0.014)  (0.007, -0.012)  (0.011, -0.008)  (0.014, -0.003)  (0.014, 0.003)  (0.011, 0.008)  (0.007, 0.012)  (0.001, 0.014)  (-0.004, 0.013)  (-0.009, 0.010)  (-0.013, 0.006)
step= 57  t=57.000  (-0.012, 0.000)  (-0.011, -0.005)  (-0.008, -0.009)  (-0.004, -0.011)  (0.001, -0.012)  (0.006, -0.010)  (0.009, -0.007)  (0.011, -0.002)  (0.011, 0.002)  (0.009, 0.007)  (0.006, 0.010)  (0.001, 0.012)  (-0.004, 0.011)  (-0.008, 0.009)  (-0.011, 0.005)
step= 58  t=58.000  (-0.010, 0.000)  (-0.009, -0.004)  (-0.006, -0.007)  (-0.003, -0.009)  (0.001, -0.010)  (0.005, -0.008)  (0.008, -0.006)  (0.009, -0.002)  (0.009, 0.002)  (0.008, 0.006)  (0.005, 0.008)  (0.001, 0.010)  (-0.003, 0.009)  (-0.006, 0.007)  (-0.009, 0.004)
step= 59  t=59.000  (-0.008, 0.000)  (-0.007, -0.003)  (-0.005, -0.006)  (-0.002, -0.008)  (0.001, -0.008)  (0.004, -0.007)  (0.006, -0.005)  (0.008, -0.002)  (0.008, 0.002)  (0.006, 0.005)  (0.004, 0.007)  (0.001, 0.008)  (-0.002, 0.008)  (-0.005, 0.006)  (-0.007, 0.003)
step= 60  t=60.000  (-0.007, 0.000)  (-0.006, -0.003)  (-0.004, -0.005)  (-0.002, -0.006)  (0.001, -0.007)  (0.003, -0.006)  (0.005, -0.004)  (0.007, -0.001)  (0.007, 0.001)  (0.005, 0.004)  (0.003, 0.006)  (0.001, 0.007)  (-0.002, 0.006)  (-0.004, 0.005)  (-0.006, 0.003)
step= 61  t=61.000  (-0.006, 0.000)  (-0.005, -0.002)  (-0.004, -0.004)  (-0.002, -0.005)  (0.001, -0.006)  (0.003, -0.005)  (0.005, -0.003)  (0.005, -0.001)  (0.005, 0.001)  (0.005, 0.003)  (0.003, 0.005)  (0.001, 0.006)  (-0.002, 0.005)  (-0.004, 0.004)  (-0.005, 0.002)
step= 62  t=62.000  (-0.005, 0.000)  (-0.004, -0.002)  (-0.003, -0.003)  (-0.001, -0.004)  (0.000, -0.005)  (0.002, -0.004)  (0.004, -0.003)  (0.005, -0.001)  (0.005, 0.001)  (0.004, 0.003)  (0.002, 0.004)  (0.000, 0.005)  (-0.001, 0.004)  (-0.003, 0.003)  (-0.004, 0.002)
step= 63  t=63.000  (-0.004, 0.000)  (-0.004, -0.002)  (-0.003, -0.003)  (-0.001, -0.004)  (0.000, -0.004)  (0.002, -0.003)  (0.003, -0.002)  (0.004, -0.001)  (0.004, 0.001)  (0.003, 0.002)  (0.002, 0.003)  (0.000, 0.004)  (-0.001, 0.004)  (-0.003, 0.003)  (-0.004, 0.002)
step= 64  t=64.000  (-0.003, 0.000)  (-0.003, -0.001)  (-0.002, -0.002)  (-0.001, -0.003)  (0.000, -0.003)  (0.002, -0.003)  (0.003, -0.002)  (0.003, -0.001)  (0.003, 0.001)  (0.003, 0.002)  (0.002, 0.003)  (0.000, 0.003)  (-0.001, 0.003)  (-0.002, 0.002)  (-0.003, 0.001)
step= 65  t=65.000  (-0.003, 0.000)  (-0.002, -0.001)  (-0.002, -0.002)  (-0.001, -0.003)  (0.000, -0.003)  (0.001, -0.002)  (0.002, -0.002)  (0.003, -0.001)  (0.003, 0.001)  (0.002, 0.002)  (0.001, 0.002)  (0.000, 0.003)  (-0.001, 0.003)  (-0.002, 0.002)  (-0.002, 0.001)
step= 66  t=66.000  (-0.002, 0.000)  (-0.002, -0.001)  (-0.002, -0.002)  (-0.001, -0.002)  (0.000, -0.002)  (0.001, -0.002)  (0.002, -0.001)  (0.002, -0.000)  (0.002, 0.000)  (0.002, 0.001)  (0.001, 0.002)  (0.000, 0.002)  (-0.001, 0.002)  (-0.002, 0.002)  (-0.002, 0.001)
step= 67  t=67.000  (-0.002, 0.000)  (-0.002, -0.001)  (-0.001, -0.001)  (-0.001, -0.002)  (0.000, -0.002)  (0.001, -0.002)  (0.002, -0.001)  (0.002, -0.000)  (0.002, 0.000)  (0.002, 0.001)  (0.001, 0.002)  (0.000, 0.002)  (-0.001, 0.002)  (-0.001, 0.001)  (-0.002, 0.001)
step= 68  t=68.000  (-0.002, 0.000)  (-0.001, -0.001)  (-0.001, -0.001)  (-0.000, -0.001)  (0.000, -0.002)  (0.001, -0.001)  (0.001, -0.001)  (0.002, -0.000)  (0.002, 0.000)  (0.001, 0.001)  (0.001, 0.001)  (0.000, 0.002)  (-0.000, 0.001)  (-0.001, 0.001)  (-0.001, 0.001)
step= 69  t=69.000  (-0.001, 0.000)  (-0.001, -0.001)  (-0.001, -0.001)  (-0.000, -0.001)  (0.000, -0.001)  (0.001, -0.001)  (0.001, -0.001)  (0.001, -0.000)  (0.001, 0.000)  (0.001, 0.001)  (0.001, 0.001)  (0.000, 0.001)  (-0.000, 0.001)  (-0.001, 0.001)  (-0.001, 0.001)
step= 70  t=70.000  (-0.001, 0.000)  (-0.001, -0.000)  (-0.001, -0.001)  (-0.000, -0.001)  (0.000, -0.001)  (0.001, -0.001)  (0.001, -0.001)  (0.001, -0.000)  (0.001, 0.000)  (0.001, 0.001)  (0.001, 0.001)  (0.000, 0.001)  (-0.000, 0.001)  (-0.001, 0.001)  (-0.001, 0.000)
step= 71  t=71.000  (-0.001, 0.000)  (-0.001, -0.000)  (-0.001, -0.001)  (-0.000, -0.001)  (0.000, -0.001)  (0.000, -0.001)  (0.001, -0.001)  (0.001, -0.000)  (0.001, 0.000)  (0.001, 0.001)  (0.000, 0.001)  (0.000, 0.001)  (-0.000, 0.001)  (-0.001, 0.001)  (-0.001, 0.000)
step= 72  t=72.000  (-0.001, 0.000)  (-0.001, -0.000)  (-0.001, -0.001)  (-0.000, -0.001)  (0.000, -0.001)  (0.000, -0.001)  (0.001, -0.000)  (0.001, -0.000)  (0.001, 0.000)  (0.001, 0.000)  (0.000, 0.001)  (0.000, 0.001)  (-0.000, 0.001)  (-0.001, 0.001)  (-0.001, 0.000)
step= 73  t=73.000  (-0.001, 0.000)  (-0.001, -0.000)  (-0.000, -0.000)  (-0.000, -0.001)  (0.000, -0.001)  (0.000, -0.001)  (0.001, -0.000)  (0.001, -0.000)  (0.001, 0.000)  (0.001, 0.000)  (0.000, 0.001)  (0.000, 0.001)  (-0.000, 0.001)  (-0.000, 0.000)  (-0.001, 0.000)
step= 74  t=74.000  (-0.001, 0.000)  (-0.000, -0.000)  (-0.000, -0.000)  (-0.000, -0.000)  (0.000, -0.001)  (0.000, -0.000)  (0.000, -0.000)  (0.001, -0.000)  (0.001, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.001)  (-0.000, 0.000)  (-0.000, 0.000)  (-0.000, 0.000)
